raceId;year;circuitId;name;date
1;2009;1;Australian Grand Prix;29/03/2009
2;2009;2;Malaysian Grand Prix;05/04/2009
3;2009;17;Chinese Grand Prix;19/04/2009
4;2009;3;Bahrain Grand Prix;26/04/2009
5;2009;4;Spanish Grand Prix;10/05/2009
6;2009;6;Monaco Grand Prix;24/05/2009
7;2009;5;Turkish Grand Prix;07/06/2009
8;2009;9;British Grand Prix;21/06/2009
9;2009;20;German Grand Prix;12/07/2009
10;2009;11;Hungarian Grand Prix;26/07/2009
11;2009;12;European Grand Prix;23/08/2009
12;2009;13;Belgian Grand Prix;30/08/2009
13;2009;14;Italian Grand Prix;13/09/2009
14;2009;15;Singapore Grand Prix;27/09/2009
15;2009;22;Japanese Grand Prix;04/10/2009
16;2009;18;Brazilian Grand Prix;18/10/2009
17;2009;24;Abu Dhabi Grand Prix;01/11/2009
18;2008;1;Australian Grand Prix;16/03/2008
19;2008;2;Malaysian Grand Prix;23/03/2008
20;2008;3;Bahrain Grand Prix;06/04/2008
21;2008;4;Spanish Grand Prix;27/04/2008
22;2008;5;Turkish Grand Prix;11/05/2008
23;2008;6;Monaco Grand Prix;25/05/2008
24;2008;7;Canadian Grand Prix;08/06/2008
25;2008;8;French Grand Prix;22/06/2008
26;2008;9;British Grand Prix;06/07/2008
27;2008;10;German Grand Prix;20/07/2008
28;2008;11;Hungarian Grand Prix;03/08/2008
29;2008;12;European Grand Prix;24/08/2008
30;2008;13;Belgian Grand Prix;07/09/2008
31;2008;14;Italian Grand Prix;14/09/2008
32;2008;15;Singapore Grand Prix;28/09/2008
33;2008;16;Japanese Grand Prix;12/10/2008
34;2008;17;Chinese Grand Prix;19/10/2008
35;2008;18;Brazilian Grand Prix;02/11/2008
36;2007;1;Australian Grand Prix;18/03/2007
37;2007;2;Malaysian Grand Prix;08/04/2007
38;2007;3;Bahrain Grand Prix;15/04/2007
39;2007;4;Spanish Grand Prix;13/05/2007
40;2007;6;Monaco Grand Prix;27/05/2007
41;2007;7;Canadian Grand Prix;10/06/2007
42;2007;19;United States Grand Prix;17/06/2007
43;2007;8;French Grand Prix;01/07/2007
44;2007;9;British Grand Prix;08/07/2007
45;2007;20;European Grand Prix;22/07/2007
46;2007;11;Hungarian Grand Prix;05/08/2007
47;2007;5;Turkish Grand Prix;26/08/2007
48;2007;14;Italian Grand Prix;09/09/2007
49;2007;13;Belgian Grand Prix;16/09/2007
50;2007;16;Japanese Grand Prix;30/09/2007
51;2007;17;Chinese Grand Prix;07/10/2007
52;2007;18;Brazilian Grand Prix;21/10/2007
53;2006;3;Bahrain Grand Prix;12/03/2006
54;2006;2;Malaysian Grand Prix;19/03/2006
55;2006;1;Australian Grand Prix;02/04/2006
56;2006;21;San Marino Grand Prix;23/04/2006
57;2006;20;European Grand Prix;07/05/2006
58;2006;4;Spanish Grand Prix;14/05/2006
59;2006;6;Monaco Grand Prix;28/05/2006
60;2006;9;British Grand Prix;11/06/2006
61;2006;7;Canadian Grand Prix;25/06/2006
62;2006;19;United States Grand Prix;02/07/2006
63;2006;8;French Grand Prix;16/07/2006
64;2006;10;German Grand Prix;30/07/2006
65;2006;11;Hungarian Grand Prix;06/08/2006
66;2006;5;Turkish Grand Prix;27/08/2006
67;2006;14;Italian Grand Prix;10/09/2006
68;2006;17;Chinese Grand Prix;01/10/2006
69;2006;22;Japanese Grand Prix;08/10/2006
70;2006;18;Brazilian Grand Prix;22/10/2006
71;2005;1;Australian Grand Prix;06/03/2005
72;2005;2;Malaysian Grand Prix;20/03/2005
73;2005;3;Bahrain Grand Prix;03/04/2005
74;2005;21;San Marino Grand Prix;24/04/2005
75;2005;4;Spanish Grand Prix;08/05/2005
76;2005;6;Monaco Grand Prix;22/05/2005
77;2005;20;European Grand Prix;29/05/2005
78;2005;7;Canadian Grand Prix;12/06/2005
79;2005;19;United States Grand Prix;19/06/2005
80;2005;8;French Grand Prix;03/07/2005
81;2005;9;British Grand Prix;10/07/2005
82;2005;10;German Grand Prix;24/07/2005
83;2005;11;Hungarian Grand Prix;31/07/2005
84;2005;5;Turkish Grand Prix;21/08/2005
85;2005;14;Italian Grand Prix;04/09/2005
86;2005;13;Belgian Grand Prix;11/09/2005
87;2005;18;Brazilian Grand Prix;25/09/2005
88;2005;22;Japanese Grand Prix;09/10/2005
89;2005;17;Chinese Grand Prix;16/10/2005
90;2004;1;Australian Grand Prix;07/03/2004
91;2004;2;Malaysian Grand Prix;21/03/2004
92;2004;3;Bahrain Grand Prix;04/04/2004
93;2004;21;San Marino Grand Prix;25/04/2004
94;2004;4;Spanish Grand Prix;09/05/2004
95;2004;6;Monaco Grand Prix;23/05/2004
96;2004;20;European Grand Prix;30/05/2004
97;2004;7;Canadian Grand Prix;13/06/2004
98;2004;19;United States Grand Prix;20/06/2004
99;2004;8;French Grand Prix;04/07/2004
100;2004;9;British Grand Prix;11/07/2004
101;2004;10;German Grand Prix;25/07/2004
102;2004;11;Hungarian Grand Prix;15/08/2004
103;2004;13;Belgian Grand Prix;29/08/2004
104;2004;14;Italian Grand Prix;12/09/2004
105;2004;17;Chinese Grand Prix;26/09/2004
106;2004;22;Japanese Grand Prix;10/10/2004
107;2004;18;Brazilian Grand Prix;24/10/2004
108;2003;1;Australian Grand Prix;09/03/2003
109;2003;2;Malaysian Grand Prix;23/03/2003
110;2003;18;Brazilian Grand Prix;06/04/2003
111;2003;21;San Marino Grand Prix;20/04/2003
112;2003;4;Spanish Grand Prix;04/05/2003
113;2003;70;Austrian Grand Prix;18/05/2003
114;2003;6;Monaco Grand Prix;01/06/2003
115;2003;7;Canadian Grand Prix;15/06/2003
116;2003;20;European Grand Prix;29/06/2003
117;2003;8;French Grand Prix;06/07/2003
118;2003;9;British Grand Prix;20/07/2003
119;2003;10;German Grand Prix;03/08/2003
120;2003;11;Hungarian Grand Prix;24/08/2003
121;2003;14;Italian Grand Prix;14/09/2003
122;2003;19;United States Grand Prix;28/09/2003
123;2003;22;Japanese Grand Prix;12/10/2003
124;2002;1;Australian Grand Prix;03/03/2002
125;2002;2;Malaysian Grand Prix;17/03/2002
126;2002;18;Brazilian Grand Prix;31/03/2002
127;2002;21;San Marino Grand Prix;14/04/2002
128;2002;4;Spanish Grand Prix;28/04/2002
129;2002;70;Austrian Grand Prix;12/05/2002
130;2002;6;Monaco Grand Prix;26/05/2002
131;2002;7;Canadian Grand Prix;09/06/2002
132;2002;20;European Grand Prix;23/06/2002
133;2002;9;British Grand Prix;07/07/2002
134;2002;8;French Grand Prix;21/07/2002
135;2002;10;German Grand Prix;28/07/2002
136;2002;11;Hungarian Grand Prix;18/08/2002
137;2002;13;Belgian Grand Prix;01/09/2002
138;2002;14;Italian Grand Prix;15/09/2002
139;2002;19;United States Grand Prix;29/09/2002
140;2002;22;Japanese Grand Prix;13/10/2002
141;2001;1;Australian Grand Prix;04/03/2001
142;2001;2;Malaysian Grand Prix;18/03/2001
143;2001;18;Brazilian Grand Prix;01/04/2001
144;2001;21;San Marino Grand Prix;15/04/2001
145;2001;4;Spanish Grand Prix;29/04/2001
146;2001;70;Austrian Grand Prix;13/05/2001
147;2001;6;Monaco Grand Prix;27/05/2001
148;2001;7;Canadian Grand Prix;10/06/2001
149;2001;20;European Grand Prix;24/06/2001
150;2001;8;French Grand Prix;01/07/2001
151;2001;9;British Grand Prix;15/07/2001
152;2001;10;German Grand Prix;29/07/2001
153;2001;11;Hungarian Grand Prix;19/08/2001
154;2001;13;Belgian Grand Prix;02/09/2001
155;2001;14;Italian Grand Prix;16/09/2001
156;2001;19;United States Grand Prix;30/09/2001
157;2001;22;Japanese Grand Prix;14/10/2001
158;2000;1;Australian Grand Prix;12/03/2000
159;2000;18;Brazilian Grand Prix;26/03/2000
160;2000;21;San Marino Grand Prix;09/04/2000
161;2000;9;British Grand Prix;23/04/2000
162;2000;4;Spanish Grand Prix;07/05/2000
163;2000;20;European Grand Prix;21/05/2000
164;2000;6;Monaco Grand Prix;04/06/2000
165;2000;7;Canadian Grand Prix;18/06/2000
166;2000;8;French Grand Prix;02/07/2000
167;2000;70;Austrian Grand Prix;16/07/2000
168;2000;10;German Grand Prix;30/07/2000
169;2000;11;Hungarian Grand Prix;13/08/2000
170;2000;13;Belgian Grand Prix;27/08/2000
171;2000;14;Italian Grand Prix;10/09/2000
172;2000;19;United States Grand Prix;24/09/2000
173;2000;22;Japanese Grand Prix;08/10/2000
